,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hor Pixels,Ver Pixels,Rate,Scan  Type,Adopted,DMT ID,2 Byte Code,3 Byte Code,Type,Pixel Clock,HsyncPol,VsyncPol,Htotal,Haddr,Hblank,Hright,Hfront,Hsync,Hback,Hleft,Vtotal,Vaddr,Vblank,Vbottom,Vfront,Vsync,Vback,Vtop,Htotal (calc),Vtotal (calc),Pixel Clock (calc)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.000
