=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.09 17:39:54 =~=~=~=~=~=~=~=~=~=~=~=


-- TURN Dynamic Systems --
  TM4313 Miniature GPSDO

HV: 1.0.1
SV: 1.0.8
SD: May 14 2023, 23:45:34
SN: 25142891
SC: 100.000000MHz
AF: 19/73

Ph =        33, D =  548850, GL = 0, LOS = 1, ST =        74, AF =  19, STB = -1.27500E-9, RT = 179
Ph =        32, D =  548850, GL = 0, LOS = 1, ST =        75, AF =  19, STB = -1.25000E-9, RT = 180
Ph =        33, D =  548850, GL = 0, LOS = 1, ST =        76, AF =  19, STB = -1.20000E-9, RT = 181
Ph =        34, D =  548850, GL = 0, LOS = 1, ST =        77, AF =  19, STB = -1.17500E-9, RT = 182
Ph =        33, D =  548850, GL = 0, LOS = 1, ST =        78, AF =  19, STB = -1.10000E-9, RT = 183
Ph =        33, D =  548850, GL = 0, LOS = 1, ST =        79, AF =  19, STB = -0.95000E-9, RT = 184
Ph =        34, D =  548850, GL = 0, LOS = 1, ST =        80, AF =  19, STB = -0.85000E-9, RT = 185
Ph =        33, D =  548850, GL = 0, LOS = 1, ST =        81, AF =  19, STB = -0.82500E-9, RT = 186
Ph =        33, D =  548850, GL = 0, LOS = 1, ST =        82, AF =  19, STB = -0.72500E-9, RT = 187
Ph =        34, D =  548850, GL = 0, LOS = 1, ST =        83, AF =  19, STB = -0.60000E-9, RT = 188
Ph =         0, D =  548542, GL = 0, LOS = 2, ST =         0, AF =  19, RT = 189
Ph =         1, D =  528542, GL = 0, LOS = 2, ST =         0, AF =  19, RT = 190
Ph =        -2, D =  528542, GL = 0, LOS = 2, ST =         0, AF =  19, RT = 191
Ph =        -9, D =  528542, GL = 0, LOS = 2, ST =         0, AF =  19, RT = 192
Ph =       -16, D =  528542, GL = 0, LOS = 2, ST =         0, AF =  19, RT = 193
Ph =       -21, D =  528542, GL = 0, LOS = 2, ST =         0, AF =  19, RT = 194
Ph =       -29, D =  528542, GL = 0, LOS = 2, ST =         0, AF =  19, RT = 195
Ph =       -35, D =  528542, GL = 0, LOS = 2, ST =         0, AF =  19, RT = 196
Ph =       -42, D =  528542, GL = 0, LOS = 2, ST =         0, AF =  19, RT = 197
Ph =       -49, D =  528542, GL = 0, LOS = 2, ST =         0, AF =  19, RT = 198
Ph =       -56, D =  528542, GL = 0, LOS = 2, ST =         0, AF =  19, RT = 199
Ph =       -62, D =  528542, GL = 0, LOS = 2, ST =         1, AF =  19, RT = 200
Ph =       -70, D =  528542, GL = 0, LOS = 2, ST =         2, AF =  19, RT = 201
Ph =       -76, D =  528542, GL = 0, LOS = 2, ST =         3, AF =  19, RT = 202
Ph =       -82, D =  528542, GL = 0, LOS = 2, ST =         4, AF =  19, RT = 203
Ph =       -89, D =  528542, GL = 0, LOS = 2, ST =         5, AF =  19, RT = 204
Ph =       -97, D =  528542, GL = 0, LOS = 2, ST =         6, AF =  19, RT = 205
Ph =      -103, D =  528542, GL = 0, LOS = 2, ST =         7, AF =  19, RT = 206
Ph =      -109, D =  528542, GL = 0, LOS = 2, ST =         8, AF =  19, RT = 207
Ph =      -116, D =  528542, GL = 0, LOS = 2, ST =         9, AF =  19, RT = 208
Ph =      -123, D =  528542, GL = 0, LOS = 2, ST =        10, AF =  19, RT = 209
Ph =      -129, D =  528542, GL = 0, LOS = 2, ST =        11, AF =  19, RT = 210
Ph =      -137, D =  528542, GL = 0, LOS = 2, ST =        12, AF =  19, RT = 211
Ph =      -143, D =  528542, GL = 0, LOS = 2, ST =        13, AF =  19, RT = 212
Ph =      -150, D =  528542, GL = 0, LOS = 2, ST =        14, AF =  19, RT = 213
Ph =      -156, D =  528542, GL = 0, LOS = 2, ST =        15, AF =  19, RT = 214
Ph =      -163, D =  528542, GL = 0, LOS = 2, ST =        16, AF =  19, RT = 215
Ph =      -170, D =  528542, GL = 0, LOS = 2, ST =        17, AF =  19, RT = 216
Ph =      -176, D =  528542, GL = 0, LOS = 2, ST =        18, AF =  19, RT = 217
Ph =      -182, D =  528542, GL = 0, LOS = 2, ST =        19, AF =  19, RT = 218
Ph =      -190, D =  528542, GL = 0, LOS = 2, ST =        20, AF =  19, RT = 219
Ph =      -197, D =  528542, GL = 0, LOS = 2, ST =        21, AF =  19, RT = 220
Ph =      -203, D =  568542, GL = 0, LOS = 2, ST =        21, AF =  19, RT = 221
Ph =      -202, D =  568542, GL = 0, LOS = 2, ST =        21, AF =  19, RT = 222
Ph =      -197, D =  568542, GL = 0, LOS = 2, ST =        21, AF =  19, RT = 223
Ph =      -190, D =  568542, GL = 0, LOS = 2, ST =        21, AF =  19, RT = 224
Ph =      -183, D =  568542, GL = 0, LOS = 2, ST =        21, AF =  19, RT = 225
Ph =      -177, D =  568542, GL = 0, LOS = 2, ST =        21, AF =  19, RT = 226
Ph =      -171, D =  568542, GL = 0, LOS = 2, ST =        21, AF =  19, RT = 227
Ph =      -164, D =  568542, GL = 0, LOS = 2, ST =        21, AF =  19, RT = 228
Ph =      -156, D =  568542, GL = 0, LOS = 2, ST =        21, AF =  19, RT = 229
Ph =      -151, D =  568542, GL = 0, LOS = 2, ST =        21, AF =  19, RT = 230
Ph =      -144, D =  568542, GL = 0, LOS = 2, ST =        22, AF =  19, RT = 231
Ph =      -137, D =  568542, GL = 0, LOS = 2, ST =        23, AF =  19, RT = 232
Ph =      -129, D =  568542, GL = 0, LOS = 2, ST =        24, AF =  19, RT = 233
Ph =      -124, D =  568542, GL = 0, LOS = 2, ST =        25, AF =  19, RT = 234
Ph =      -117, D =  568542, GL = 0, LOS = 2, ST =        26, AF =  19, RT = 235
Ph =      -110, D =  568542, GL = 0, LOS = 2, ST =        27, AF =  19, RT = 236
Ph =      -103, D =  568542, GL = 0, LOS = 2, ST =        28, AF =  19, RT = 237
Ph =       -96, D =  568542, GL = 0, LOS = 2, ST =        29, AF =  19, RT = 238
Ph =       -90, D =  568542, GL = 0, LOS = 2, ST =        30, AF =  19, RT = 239
Ph =       -84, D =  568542, GL = 0, LOS = 2, ST =        31, AF =  19, RT = 240
Ph =       -76, D =  568542, GL = 0, LOS = 2, ST =        32, AF =  19, RT = 241
Ph =       -69, D =  568542, GL = 0, LOS = 2, ST =        33, AF =  19, RT = 242
Ph =       -63, D =  568542, GL = 0, LOS = 2, ST =        34, AF =  19, RT = 243
Ph =       -56, D =  568542, GL = 0, LOS = 2, ST =        35, AF =  19, RT = 244
Ph =       -50, D =  568542, GL = 0, LOS = 2, ST =        36, AF =  19, RT = 245
Ph =       -43, D =  568542, GL = 0, LOS = 2, ST =        37, AF =  19, RT = 246
Ph =       -37, D =  568542, GL = 0, LOS = 2, ST =        38, AF =  19, RT = 247
Ph =       -30, D =  568542, GL = 0, LOS = 2, ST =        39, AF =  19, RT = 248
Ph =       -23, D =  568542, GL = 0, LOS = 2, ST =        40, AF =  19, RT = 249
Ph =       -15, D =  568542, GL = 0, LOS = 2, ST =        41, AF =  19, cK = 0.003375E-9/LSB, RT = 250
Ph =       -10, D =  548394, GL = 0, LOS = 2, ST =        42, AF =  19, RT = 251
Ph =        -7, D =  548394, GL = 0, LOS = 2, ST =        43, AF =  19, RT = 252
Ph =        -7, D =  548394, GL = 0, LOS = 2, ST =        44, AF =  19, RT = 253
Ph =        -6, D =  548394, GL = 0, LOS = 2, ST =        45, AF =  19, RT = 254
Ph =        -6, D =  548394, GL = 0, LOS = 2, ST =        46, AF =  19, RT = 255
Ph =        -6, D =  548394, GL = 0, LOS = 2, ST =        47, AF =  19, RT = 256
Ph =        -6, D =  548394, GL = 0, LOS = 2, ST =        48, AF =  19, RT = 257
Ph =        -6, D =  548394, GL = 0, LOS = 2, ST =        49, AF =  19, RT = 258
Ph =        -6, D =  548394, GL = 0, LOS = 2, ST =        50, AF =  19, RT = 259
Ph =        -5, D =  548394, GL = 0, LOS = 2, ST =        51, AF =  19, RT = 260
Ph =         0, D =  548394, GL = 0, LOS = 3, ST =         0, AF =  19, RT = 261
Ph =         0, D =  548394, GL = 0, LOS = 3, ST =         1, AF =  19, RT = 262
Ph =         0, D =  548394, GL = 0, LOS = 3, ST =         2, AF =  19, RT = 263
Ph =         0, D =  548394, GL = 0, LOS = 3, ST =         3, AF =  19, RT = 264
Ph =        -1, D =  548394, GL = 0, LOS = 3, ST =         4, AF =  19, RT = 265
Ph =        -1, D =  548433, GL = 0, LOS = 3, ST =         5, AF =  19, RT = 266
Ph =        -1, D =  548464, GL = 0, LOS = 3, ST =         6, AF =  19, RT = 267
Ph =         0, D =  548490, GL = 0, LOS = 3, ST =         7, AF =  19, RT = 268
Ph =         0, D =  548490, GL = 0, LOS = 3, ST =         8, AF =  19, RT = 269
Ph =        -1, D =  548490, GL = 0, LOS = 3, ST =         9, AF =  19, RT = 270
Ph =        -1, D =  548508, GL = 0, LOS = 3, ST =        10, AF =  19, RT = 271
Ph =        -1, D =  548523, GL = 0, LOS = 3, ST =        11, AF =  19, RT = 272
Ph =        -1, D =  548537, GL = 0, LOS = 3, ST =        12, AF =  19, RT = 273
Ph =        -1, D =  548550, GL = 0, LOS = 3, ST =        13, AF =  19, RT = 274
Ph =        -1, D =  548562, GL = 0, LOS = 3, ST =        14, AF =  19, RT = 275
Ph =        -1, D =  548573, GL = 0, LOS = 3, ST =        15, AF =  19, RT = 276
Ph =        -1, D =  548584, GL = 0, LOS = 3, ST =        16, AF =  19, RT = 277
Ph =        -1, D =  548594, GL = 0, LOS = 3, ST =        17, AF =  19, RT = 278
Ph =         0, D =  548603, GL = 0, LOS = 3, ST =        18, AF =  19, RT = 279
Ph =        -1, D =  548603, GL = 0, LOS = 3, ST =        19, AF =  19, RT = 280
Ph =        -1, D =  548611, GL = 0, LOS = 3, ST =        20, AF =  19, RT = 281
Ph =        -1, D =  548619, GL = 0, LOS = 3, ST =        21, AF =  19, RT = 282
Ph =         0, D =  548632, GL = 0, LOS = 3, ST =        22, AF =  19, RT = 283
Ph =         0, D =  548637, GL = 0, LOS = 3, ST =        23, AF =  19, RT = 284
Ph =        -1, D =  548642, GL = 0, LOS = 3, ST =        24, AF =  19, RT = 285
Ph =        -1, D =  548647, GL = 0, LOS = 3, ST =        25, AF =  19, RT = 286
Ph =        -1, D =  548652, GL = 0, LOS = 3, ST =        26, AF =  19, RT = 287
Ph =         0, D =  548656, GL = 0, LOS = 3, ST =        27, AF =  19, RT = 288
Ph =         1, D =  548661, GL = 0, LOS = 3, ST =        28, AF =  19, RT = 289
Ph =         0, D =  548657, GL = 0, LOS = 3, ST =        29, AF =  19, RT = 290
